"Type","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","granzyme-mediated programmed cell death signaling pathway(BP)","3/7","10/18986",0.3,813.685714285714,49.3671377009044,3.67864784016493e-09,6.18012837147709e-07,3.05908609866347e-07,"GZMB/NKG7/PRF1",3
"BP","iron import into cell(BP)","1/7","10/18986",0.1,271.228571428571,16.4152154540555,0.00368168743370034,0.0337269850604377,0.0166944349609936,"SLC39A8",1
"BP","manganese ion transmembrane transport(BP)","1/7","10/18986",0.1,271.228571428571,16.4152154540555,0.00368168743370034,0.0337269850604377,0.0166944349609936,"SLC39A8",1
"BP","natural killer cell mediated cytotoxicity directed against tumor cell target(BP)","1/7","10/18986",0.1,271.228571428571,16.4152154540555,0.00368168743370034,0.0337269850604377,0.0166944349609936,"NKG7",1
"BP","regulation of killing of cells of another organism(BP)","1/7","10/18986",0.1,271.228571428571,16.4152154540555,0.00368168743370034,0.0337269850604377,0.0166944349609936,"PRF1",1
"BP","natural killer cell mediated immune response to tumor cell(BP)","1/7","11/18986",0.0909090909090909,246.571428571429,15.6459142182875,0.00404921632218935,0.0337269850604377,0.0166944349609936,"NKG7",1
"BP","response to mercury ion(BP)","1/7","11/18986",0.0909090909090909,246.571428571429,15.6459142182875,0.00404921632218935,0.0337269850604377,0.0166944349609936,"SLC39A8",1
"BP","zinc ion import across plasma membrane(BP)","1/7","11/18986",0.0909090909090909,246.571428571429,15.6459142182875,0.00404921632218935,0.0337269850604377,0.0166944349609936,"SLC39A8",1
"BP","manganese ion transport(BP)","1/7","12/18986",0.0833333333333333,226.023809523809,14.9746715512352,0.0044166289960097,0.0337269850604377,0.0166944349609936,"SLC39A8",1
"BP","natural killer cell degranulation(BP)","1/7","12/18986",0.0833333333333333,226.023809523809,14.9746715512352,0.0044166289960097,0.0337269850604377,0.0166944349609936,"NKG7",1
"BP","protein import(BP)","1/7","12/18986",0.0833333333333333,226.023809523809,14.9746715512352,0.0044166289960097,0.0337269850604377,0.0166944349609936,"PRF1",1
"BP","defense response to tumor cell(BP)","1/7","13/18986",0.0769230769230769,208.637362637363,14.3822500314785,0.00478392548578677,0.0349434557222685,0.0172965726946066,"PRF1",1
"BP","immunological synapse formation(BP)","1/7","16/18986",0.0625,169.517857142857,12.9506006580862,0.00588511815700621,0.0411958270990435,0.0203914181755917,"PRF1",1
"BP","immune response to tumor cell(BP)","2/7","34/18986",0.0588235294117647,159.546218487395,17.7699203250863,6.50020414955367e-05,0.00182005716187503,0.00090090548739428,"NKG7/PRF1",2
"BP","arginine metabolic process(BP)","1/7","20/18986",0.05,135.614285714286,11.5674047929921,0.00735175033212576,0.0416932054210242,0.0206376142121611,"SLC39A8",1
