GeneID,Symbol
345611,IRGM
23240,TMEM131L
29062,WDR91
441925,BECN2
1777,DNASE2
9179,AP4M1
8546,AP3B1
7099,TLR4
406,BMAL1
6819,SULT1C2
4126,MANBA
274,BIN1
8635,RNASET2
10475,TRIM38
4125,MAN2B1
8943,AP3D1
5826,ABCD4
1200,TPP1
7782,SLC30A4
9032,TM4SF5
9146,HGS
2580,GAK
4864,NPC1
8992,ATP6V0E1
8417,STX7
1318,SLC31A2
8399,PLA2G10
9575,CLOCK
9907,AP5Z1
10542,LAMTOR5
11342,RNF13
9066,SYT7
27243,CHMP2A
164,AP1G1
8405,SPOP
8372,HYAL3
57016,AKR1B10
5071,PRKN
9043,SPAG9
23295,MGRN1
66008,TRAK2
7107,GPR137B
8029,CUBN
10103,TSPAN1
9214,FCMR
6643,SNX2
10043,TOM1
10266,RAMP2
10268,RAMP3
1515,CTSV
1497,CTNS
4286,MITF
9829,DNAJC6
9475,ROCK2
9681,DEPDC5
219333,USP12
9550,ATP6V1G1
9525,VPS4B
8674,VAMP4
9559,VPS26A
1203,CLN5
10040,TOM1L1
10159,ATP6AP2
8906,AP1G2
8530,CST7
7226,TRPM2
23120,ATP10B
9725,TMEM63A
11337,GABARAP
23557,SNAPIN
25798,BRI3
19,ABCA1
9342,SNAP29
8915,BCL10
9476,NAPSA
100,ADA
3949,LDLR
3553,IL1B
3122,HLA-DRA
3118,HLA-DQA2
3117,HLA-DQA1
3123,HLA-DRB1
3119,HLA-DQB1
1410,CRYAB
2512,FTL
2495,FTH1
2629,GBA1
2517,FUCA1
972,CD74
3115,HLA-DPB1
6184,RPN1
351,APP
4353,MPO
3120,HLA-DQB2
3643,INSR
2717,GLA
3111,HLA-DOA
3073,HEXA
1509,CTSD
823,CAPN1
154,ADRB2
5660,PSAP
3074,HEXB
1514,CTSL
1508,CTSB
6439,SFTPB
6520,SLC3A2
2990,GUSB
1511,CTSG
3055,HCK
412,STS
967,CD63
1211,CLTA
1212,CLTB
5159,PDGFRB
1512,CTSH
7345,UCHL1
5045,FURIN
801;805;808,CALM1
801;805;808,CALM2
801;805;808,CALM3
5552,SRGN
3002,GZMB
6036,RNASE2
2548,GAA
5476,CTSA
1191,CLU
53,ACP2
3312,HSPA8
3684,ITGAM
3916,LAMP1
3482,IGF2R
1636,ACE
6714,SRC
8519,IFITM1
10437,IFI30
3920,LAMP2
1080,CFTR
54,ACP5
634,CEACAM1
3126,HLA-DRB4
3112,HLA-DOB
3292,HSD17B1
