GeneID,Symbol,Entry,Entry Name,Gene Names
345611,IRGM,A1A4Y4,IRGM_HUMAN,IRGM IFI1 IRGM1 LRG47
23240,TMEM131L,A2VDJ0,T131L_HUMAN,TMEM131L KIAA0922
29062,WDR91,A4D1P6,WDR91_HUMAN,WDR91 HSPC049
441925,BECN2,A8MW95,BECN2_HUMAN,BECN2 BECN1L1 BECN1P1
1777,DNASE2,O00115,DNS2A_HUMAN,DNASE2 DNASE2A DNL2
9179,AP4M1,O00189,AP4M1_HUMAN,AP4M1 MUARP2
8546,AP3B1,O00203,AP3B1_HUMAN,AP3B1 ADTB3A
7099,TLR4,O00206,TLR4_HUMAN,TLR4
406,BMAL1,O00327,BMAL1_HUMAN,BMAL1 ARNTL BHLHE5 MOP3 PASD3
6819,SULT1C2,O00338,ST1C2_HUMAN,SULT1C2 SULT1C1
4126,MANBA,O00462,MANBA_HUMAN,MANBA MANB1
274,BIN1,O00499,BIN1_HUMAN,BIN1 AMPHL
8635,RNASET2,O00584,RNT2_HUMAN,RNASET2 RNASE6PL
10475,TRIM38,O00635,TRI38_HUMAN,TRIM38 RNF15 RORET
4125,MAN2B1,O00754,MA2B1_HUMAN,MAN2B1 LAMAN MANB
8943,AP3D1,O14617,AP3D1_HUMAN,AP3D1 PRO0039
5826,ABCD4,O14678,ABCD4_HUMAN,ABCD4 PXMP1L
1200,TPP1,O14773,TPP1_HUMAN,TPP1 CLN2 GIG1 UNQ267/PRO304
7782,SLC30A4,O14863,ZNT4_HUMAN,SLC30A4 ZNT4
9032,TM4SF5,O14894,T4S5_HUMAN,TM4SF5
9146,HGS,O14964,HGS_HUMAN,HGS HRS
2580,GAK,O14976,GAK_HUMAN,GAK DNAJC26
4864,NPC1,O15118,NPC1_HUMAN,NPC1
8992,ATP6V0E1,O15342,VA0E1_HUMAN,ATP6V0E1 ATP6H ATP6V0E
8417,STX7,O15400,STX7_HUMAN,STX7
1318,SLC31A2,O15432,COPT2_HUMAN,SLC31A2 COPT2 CTR2
8399,PLA2G10,O15496,PA2GX_HUMAN,PLA2G10
9575,CLOCK,O15516,CLOCK_HUMAN,CLOCK BHLHE8 KIAA0334
9907,AP5Z1,O43299,AP5Z1_HUMAN,AP5Z1 KIAA0415 SPG48
10542,LAMTOR5,O43504,LTOR5_HUMAN,LAMTOR5 HBXIP XIP
11342,RNF13,O43567,RNF13_HUMAN,RNF13 RZF
9066,SYT7,O43581,SYT7_HUMAN,SYT7 PCANAP7
27243,CHMP2A,O43633,CHM2A_HUMAN,CHMP2A BC2 CHMP2
164,AP1G1,O43747,AP1G1_HUMAN,AP1G1 ADTG CLAPG1
8405,SPOP,O43791,SPOP_HUMAN,SPOP
8372,HYAL3,O43820,HYAL3_HUMAN,HYAL3 LUCA3
57016,AKR1B10,O60218,AK1BA_HUMAN,AKR1B10 AKR1B11
5071,PRKN,O60260,PRKN_HUMAN,PRKN PARK2
