GeneID,Symbol,Entry,Entry Name,Gene Name
345611,IRGM,A1A4Y4,IRGM_HUMAN,IRGM
345611,IRGM,A1A4Y4,IRGM_HUMAN,IFI1
345611,IRGM,A1A4Y4,IRGM_HUMAN,IRGM1
345611,IRGM,A1A4Y4,IRGM_HUMAN,LRG47
23240,TMEM131L,A2VDJ0,T131L_HUMAN,TMEM131L
23240,TMEM131L,A2VDJ0,T131L_HUMAN,KIAA0922
29062,WDR91,A4D1P6,WDR91_HUMAN,WDR91
29062,WDR91,A4D1P6,WDR91_HUMAN,HSPC049
441925,BECN2,A8MW95,BECN2_HUMAN,BECN2
441925,BECN2,A8MW95,BECN2_HUMAN,BECN1L1
441925,BECN2,A8MW95,BECN2_HUMAN,BECN1P1
1777,DNASE2,O00115,DNS2A_HUMAN,DNASE2
1777,DNASE2,O00115,DNS2A_HUMAN,DNASE2A
1777,DNASE2,O00115,DNS2A_HUMAN,DNL2
9179,AP4M1,O00189,AP4M1_HUMAN,AP4M1
9179,AP4M1,O00189,AP4M1_HUMAN,MUARP2
8546,AP3B1,O00203,AP3B1_HUMAN,AP3B1
8546,AP3B1,O00203,AP3B1_HUMAN,ADTB3A
7099,TLR4,O00206,TLR4_HUMAN,TLR4
406,BMAL1,O00327,BMAL1_HUMAN,BMAL1
406,BMAL1,O00327,BMAL1_HUMAN,ARNTL
406,BMAL1,O00327,BMAL1_HUMAN,BHLHE5
406,BMAL1,O00327,BMAL1_HUMAN,MOP3
406,BMAL1,O00327,BMAL1_HUMAN,PASD3
6819,SULT1C2,O00338,ST1C2_HUMAN,SULT1C2
6819,SULT1C2,O00338,ST1C2_HUMAN,SULT1C1
4126,MANBA,O00462,MANBA_HUMAN,MANBA
4126,MANBA,O00462,MANBA_HUMAN,MANB1
274,BIN1,O00499,BIN1_HUMAN,BIN1
274,BIN1,O00499,BIN1_HUMAN,AMPHL
8635,RNASET2,O00584,RNT2_HUMAN,RNASET2
8635,RNASET2,O00584,RNT2_HUMAN,RNASE6PL
10475,TRIM38,O00635,TRI38_HUMAN,TRIM38
10475,TRIM38,O00635,TRI38_HUMAN,RNF15
10475,TRIM38,O00635,TRI38_HUMAN,RORET
4125,MAN2B1,O00754,MA2B1_HUMAN,MAN2B1
4125,MAN2B1,O00754,MA2B1_HUMAN,LAMAN
4125,MAN2B1,O00754,MA2B1_HUMAN,MANB
8943,AP3D1,O14617,AP3D1_HUMAN,AP3D1
8943,AP3D1,O14617,AP3D1_HUMAN,PRO0039
5826,ABCD4,O14678,ABCD4_HUMAN,ABCD4
5826,ABCD4,O14678,ABCD4_HUMAN,PXMP1L
1200,TPP1,O14773,TPP1_HUMAN,TPP1
1200,TPP1,O14773,TPP1_HUMAN,CLN2
1200,TPP1,O14773,TPP1_HUMAN,GIG1
1200,TPP1,O14773,TPP1_HUMAN,UNQ267/PRO304
7782,SLC30A4,O14863,ZNT4_HUMAN,SLC30A4
7782,SLC30A4,O14863,ZNT4_HUMAN,ZNT4
9032,TM4SF5,O14894,T4S5_HUMAN,TM4SF5
9146,HGS,O14964,HGS_HUMAN,HGS
9146,HGS,O14964,HGS_HUMAN,HRS
2580,GAK,O14976,GAK_HUMAN,GAK
2580,GAK,O14976,GAK_HUMAN,DNAJC26
4864,NPC1,O15118,NPC1_HUMAN,NPC1
8992,ATP6V0E1,O15342,VA0E1_HUMAN,ATP6V0E1
8992,ATP6V0E1,O15342,VA0E1_HUMAN,ATP6H
8992,ATP6V0E1,O15342,VA0E1_HUMAN,ATP6V0E
8417,STX7,O15400,STX7_HUMAN,STX7
1318,SLC31A2,O15432,COPT2_HUMAN,SLC31A2
1318,SLC31A2,O15432,COPT2_HUMAN,COPT2
1318,SLC31A2,O15432,COPT2_HUMAN,CTR2
8399,PLA2G10,O15496,PA2GX_HUMAN,PLA2G10
9575,CLOCK,O15516,CLOCK_HUMAN,CLOCK
9575,CLOCK,O15516,CLOCK_HUMAN,BHLHE8
9575,CLOCK,O15516,CLOCK_HUMAN,KIAA0334
9907,AP5Z1,O43299,AP5Z1_HUMAN,AP5Z1
9907,AP5Z1,O43299,AP5Z1_HUMAN,KIAA0415
9907,AP5Z1,O43299,AP5Z1_HUMAN,SPG48
10542,LAMTOR5,O43504,LTOR5_HUMAN,LAMTOR5
10542,LAMTOR5,O43504,LTOR5_HUMAN,HBXIP
10542,LAMTOR5,O43504,LTOR5_HUMAN,XIP
11342,RNF13,O43567,RNF13_HUMAN,RNF13
11342,RNF13,O43567,RNF13_HUMAN,RZF
9066,SYT7,O43581,SYT7_HUMAN,SYT7
9066,SYT7,O43581,SYT7_HUMAN,PCANAP7
27243,CHMP2A,O43633,CHM2A_HUMAN,CHMP2A
